videos,espece1_predite,espece2_predite,espece3_predite,espece4_predite,espece1_reelle,espece2_reelle,espece3_reelle,espece4_reelle,bonne_prediction,duree1,duree2,duree3,duree4,duree5
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-29-13-21-39_balacet_1SITTOR.mp4,SITTOR,MESCHA,NaN,NaN,SITTOR,MESCHA,,,True,5.56,0.84,1.28,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-29-13-23-31_balacet_1MESCHA_PMRV.mp4,MESCHA,NaN,NaN,NaN,MESCHA,,,,True,10.32,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-29-13-32-21_balacet_1ROUFAM.mp4,ROUGOR,NaN,NaN,NaN,ROUGOR,,,,True,10.68,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-29-14-02-28_balacet_1MESCHA_MCTN.mp4,MESCHA,NaN,NaN,NaN,MESCHA,,,,True,9.96,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-29-15-13-45_balacet_1MESNON_NMTA.mp4,MESNON,NaN,NaN,NaN,MESNON,,,,True,7.76,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-29-15-28-39_balacet_1MESNON_1MESCHA.mp4,MESCHA,NaN,NaN,NaN,MESNON,MESCHA,,,False,3.24,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-29-15-34-24_balacet_1SITTOR.mp4,SITTOR,NaN,NaN,NaN,SITTOR,,,,True,10.72,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-29-15-35-26_balacet_1SITTOR_1MESCHA.mp4,SITTOR,MESCHA,NaN,NaN,SITTOR,MESCHA,,,True,2.52,0.84,4.08,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-29-16-21-06_balacet_1ROUFAM.mp4,VEREUR,NaN,NaN,NaN,ROUGOR,,,,False,3.28,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-29-16-32-38_balacet_1MESCHA_MCTN.mp4,MESCHA,NaN,NaN,NaN,MESCHA,,,,True,9.24,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-30-05-48-02_balacet_1SITTOR_1MESCHA_1SITTOR.mp4,MESCHA,MESCHA,NaN,NaN,SITTOR,MESCHA,SITTOR,,False,4.96,4.24,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-30-06-32-55_balacet_1MESCHA_MCTN.mp4,MESCHA,NaN,NaN,NaN,MESCHA,,,,True,12.12,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-30-06-45-56_balacet_1MESCHA.mp4,MESCHA,NaN,NaN,NaN,MESCHA,,,,True,1.88,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-30-07-14-41_balacet_1SITTOR.mp4,SITTOR,NaN,NaN,NaN,SITTOR,,,,True,14.24,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-30-07-22-38_balacet_1SITTOR_1MESNON.mp4,SITTOR,MESCHA,NaN,NaN,SITTOR,MESNON,,,False,3.0,3.12,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-30-08-44-23_balacet_1MESCHA_PMRV_1SITTOR.mp4,MESCHA,NaN,NaN,NaN,MESCHA,SITTOR,,,False,8.12,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-30-09-21-07_balacet_1SITTOR.mp4,SITTOR,NaN,NaN,NaN,SITTOR,,,,True,9.44,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-30-11-33-35_balacet_1MESCHA_1MESCHA.mp4,MESCHA,MESCHA,MESCHA,MESCHA,MESCHA,MESCHA,,,True,2.44,3.24,0.84,1.12,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-30-12-29-36_balacet_1MESCHA_MCTN.mp4,MESCHA,NaN,NaN,NaN,MESCHA,,,,True,5.64,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-30-15-16-47_balacet_1SITTOR.mp4,SITTOR,NaN,NaN,NaN,SITTOR,,,,True,12.6,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-31-07-32-42_balacet_1MESCHA_1MESCHA.mp4,MESCHA,MESCHA,NaN,NaN,MESCHA,MESCHA,,,True,6.76,0.8,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C1/2022-08-22-09-58-41_C1_1MESCHA.mp4,MESCHA,SITTOR,NaN,NaN,MESCHA,SITTOR,,,True,3.04,10.16,0.52,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C1/2022-08-22-09-59-01_C1_1SITTOR.mp4,SITTOR,NaN,NaN,NaN,SITTOR,,,,True,6.84,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C1/2022-08-22-10-00-07._C1_1MESCHA_AVEMmp4.mp4,MESCHA,NaN,NaN,NaN,MESCHA,,,,True,2.8,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C1/2022-08-22-10-06-02_C1_1MESNON.mp4,MESNON,NaN,NaN,NaN,MESNON,,,,True,7.6,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C1/2022-08-22-10-32-44_C1_1SITTOR.mp4,SITTOR,NaN,NaN,NaN,SITTOR,,,,True,9.36,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C1/2022-08-22-10-43-20_C1_1MESNON.mp4,MESNON,NaN,NaN,NaN,MESNON,,,,True,9.48,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C1/2022-08-22-10-56-57_C1_2SITTOR.mp4,MESCHA,NaN,NaN,NaN,SITTOR,SITTOR,,,False,9.0,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C1/2022-08-22-11-37-34_C1_1MESCHA.mp4,MESCHA,NaN,NaN,NaN,MESCHA,,,,True,14.52,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C1/2022-08-22-12-59-43_C1_1SITTOR_1MESCHA_AVOM.mp4,SITTOR,MESCHA,NaN,NaN,SITTOR,MESCHA,,,True,1.32,0.88,5.76,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C1/2022-08-22-16-25-00_C1_1MESNON_1MESCHA_AVOM.mp4,MESNON,MESCHA,NaN,NaN,MESNON,MESCHA,,,True,0.84,0.88,5.72,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C1/2022-08-23-05-51-16_C1_1SITTOR.mp4,SITTOR,MESCHA,NaN,NaN,SITTOR,,,,True,2.08,3.56,0.4,1.72,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C1/2022-08-23-06-52-56_C1_2MESCHA.mp4,MESCHA,NaN,NaN,NaN,MESCHA,MESCHA,,,False,5.28,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C1/2022-08-23-06-54-39_C1_2MESCHA_EMOG.mp4,MESCHA,MESCHA,SITTOR,NaN,MESCHA,MESCHA,,,True,2.44,2.8,1.08,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C1/2022-08-23-08-08-12_C1_2MESCHA.mp4,MESCHA,MESCHA,MESBLE,NaN,MESCHA,MESCHA,,,True,2.52,2.68,1.36,0.32,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C1/2022-08-23-15-36-30_C1_1ROUGOR.mp4,VEREUR,NaN,NaN,NaN,ROUGOR,,,,False,5.76,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C1/2022-08-23-15-37-31_C1_1ROUGOR.mp4,ROUGOR,NaN,NaN,NaN,ROUGOR,,,,True,8.8,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-24-07-59-50_C4_1MESCHA_GOME.mp4,MESCHA,NaN,NaN,NaN,MESCHA,,,,True,1.64,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-24-08-09-58_C4_1ROUFAM.mp4,ROUGOR,NaN,NaN,NaN,ROUGOR,,,,True,7.88,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-24-09-14-39_C4_1ROUFAM.mp4,ACCMOU,VEREUR,NaN,NaN,ROUGOR,,,,False,1.2,6.0,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-24-11-40-20_C4_1MESCHA.mp4,MESCHA,NaN,NaN,NaN,MESCHA,,,,True,3.24,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-24-13-17-51_C4_1MESCHA_AYOM.mp4,MESCHA,NaN,NaN,NaN,MESCHA,,,,True,3.48,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-24-13-28-11_C4_1MESNON_AUGM.mp4,MESNON,PINARB,NaN,NaN,MESNON,,,,True,4.44,1.04,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-24-13-55-43_C4_1MESBLE.mp4,MESBLE,NaN,NaN,NaN,MESBLE,,,,True,11.76,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-24-13-57-43_C4_1MESBLE_1MESCHA_AYOM.mp4,MESBLE,MESBLE,NaN,NaN,MESBLE,MESCHA,,,False,1.92,1.72,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-24-14-03-43_C4_1MESNOI.mp4,ROUGOR,MESCHA,NaN,NaN,MESNOI,,,,False,0.44,0.84,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-24-14-04-07_C4_1MESBLE_1MESCHA_AYOM.mp4,MESBLE,NaN,NaN,NaN,MESBLE,MESCHA,,,False,2.08,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-24-14-06-10_C4_1MESNON_1MESNOI.mp4,MESNON,MESCHA,NaN,NaN,MESNON,MESNOI,,,False,0.88,4.48,1.68,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-24-14-07-33_C4_1SITTOR.mp4,SITTOR,NaN,NaN,NaN,SITTOR,,,,True,9.48,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-24-14-20-58_C4_1MESNOI.mp4,MESCHA,MULGRI,MESNON,NaN,MESNOI,,,,False,3.52,1.32,0.84,2.32,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-24-14-26-05_C4_1SITTOR_1MESBLE_1MESCHA.mp4,SITTOR,MESCHA,NaN,NaN,SITTOR,MESBLE,MESCHA,,False,1.28,6.56,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-24-14-26-51_C4_1MESCHA_GOME_1SITTOR.mp4,MESCHA,SITTOR,NaN,NaN,MESCHA,SITTOR,,,True,1.52,4.72,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-24-14-28-24_C4_1SITTOR_1SITTOR.mp4,SITTOR,NaN,NaN,NaN,SITTOR,SITTOR,,,False,10.0,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-24-14-30-08_C4_1SITTOR_1MESCHA_AYOM.mp4,SITTOR,MULGRI,NaN,NaN,SITTOR,MESCHA,,,False,5.8,5.8,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-24-14-35-41_C4_1MESNOI_1MESCHA.mp4,MESNON,MESCHA,NaN,NaN,MESNOI,MESCHA,,,False,0.56,0.84,2.48,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-24-14-37-29_C4_1SITTOR_1MESCHA.mp4,SITTOR,MESCHA,NaN,NaN,SITTOR,MESCHA,,,True,3.88,0.84,2.48,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-24-14-48-26_C4_1MESNON_AUGM.mp4,MESNON,MULGRI,NaN,NaN,MESNON,,,,True,6.68,0.84,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-24-14-49-41_C4_1SITTOR_1MESNOI.mp4,MULGRI,SITTOR,MULGRI,MESCHA,SITTOR,MESNOI,,,False,0.84,1.04,5.08,0.84,1.48
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-24-14-58-54_C4_1MESNOI_1ROUFAM.mp4,MESNOI,ROUGOR,NaN,NaN,MESNOI,ROUGOR,,,True,1.32,5.88,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-24-14-59-51_C4_1ROUFAM_1SITTOR.mp4,ROUGOR,NaN,NaN,NaN,ROUGOR,SITTOR,,,False,7.56,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-24-15-02-16_C4_1MESNON_1MESNOI.mp4,MESNON,MESNOI,NaN,NaN,MESNON,MESNOI,,,True,2.48,1.2,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-24-15-05-13_C4_1MESNOI_1SITTOR_1MESNOI.mp4,SITTOR,MESCHA,NaN,NaN,MESNOI,SITTOR,MESNOI,,False,1.08,6.0,1.0,0.48,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-24-15-10-49_C4_1MESBLE.mp4,MESBLE,NaN,NaN,NaN,MESBLE,,,,True,1.84,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-24-15-52-45_C4_1MESNON.mp4,MESNON,NaN,NaN,NaN,MESNON,,,,True,5.88,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-24-15-53-40_C4_1MESNON_1MESCHA_1ROUFAM.mp4,MESCHA,ROUGOR,NaN,NaN,MESNON,MESCHA,ROUGOR,,False,2.76,5.24,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-24-16-44-00_C4_1MESHUP_1SITTOR_1MESHUP.mp4,SITTOR,SITTOR,NaN,NaN,MESHUP,SITTOR,MESHUP,,False,5.88,0.88,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-24-16-44-28_C4_1MESNON_1MESCHA_1MESHUP.mp4,MESCHA,MESHUP,NaN,NaN,MESNON,MESCHA,MESHUP,,False,4.04,1.48,0.4,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-24-16-58-41_C4_1MESHUP_1SITTOR.mp4,MULGRI,MESHUP,SITTOR,NaN,MESHUP,SITTOR,,,False,0.84,1.92,0.4,1.0,4.4
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-24-17-05-36_C4_1ROUFAM.mp4,ROUGOR,NaN,NaN,NaN,ROUGOR,,,,True,14.08,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-24-17-23-46_C4_1ROUFAM.mp4,MULGRI,NaN,NaN,NaN,ROUGOR,,,,False,5.28,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-25-05-51-53_C4_1SITTOR_1MESNON.mp4,SITTOR,MESNON,NaN,NaN,SITTOR,MESNON,,,True,4.8,6.56,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-25-06-02-24_C4_1ROUFAM_1SITTOR.mp4,MESCHA,SITTOR,NaN,NaN,ROUGOR,SITTOR,,,False,0.84,4.64,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-25-06-27-09_C4_1SITTOR_1MESHUP_1SITTOR.mp4,SITTOR,SITTOR,NaN,NaN,SITTOR,MESHUP,SITTOR,,False,3.28,4.28,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-25-07-11-36_C4_1ROUFAM_1MESNOI.mp4,ROUGOR,MESNOI,NaN,NaN,ROUGOR,MESNOI,,,True,10.36,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-25-07-37-30_C4_1SITTOR_1MESCHA_1MESCHA_1SITTOR.mp4,SITTOR,MESCHA,SITTOR,NaN,SITTOR,MESCHA,MESCHA,SITTOR,False,2.36,4.12,4.0,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-25-07-43-08_C4_1SITTOR_1MESNON_1MESCHA.mp4,SITTOR,MESCHA,NaN,NaN,SITTOR,MESNON,MESCHA,,False,5.2,2.2,0.48,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-25-07-52-02_C4_1MESNOI_1MESHUP.mp4,MESCHA,MESHUP,NaN,NaN,MESNOI,MESHUP,,,False,1.36,2.2,0.84,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-25-08-17-11_C4_1MESHUP.mp4,MESHUP,NaN,NaN,NaN,MESHUP,,,,True,8.16,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-25-09-40-04_C4_1SITTOR_1MESBLE_1SITTOR.mp4,SITTOR,SITTOR,NaN,NaN,SITTOR,MESBLE,SITTOR,,False,1.64,4.72,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-25-10-30-17_C4_1MESNON_1MESBLE_RGBM.mp4,MESBLE,NaN,NaN,NaN,MESNON,MESBLE,,,False,5.64,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C4/2022-08-25-12-25-16_C4_1MESNON_1MESCHA_1MESCHA_VMTC.mp4,MESNON,MESCHA,NaN,NaN,MESNON,MESCHA,MESCHA,,False,1.84,4.84,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/gajan/2022-07-28-10-26-15_gajan_1ROUGOR.mp4,MESCHA,MULGRI,ECUROU,NaN,ROUGOR,,,,False,3.92,0.32,0.84,0.52,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/gajan/2022-07-28-10-26-32_gajan_1ROUGOR.mp4,ROUGOR,NaN,NaN,NaN,ROUGOR,,,,True,5.76,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/gajan/2022-07-28-10-26-49_gajan_1ROUGOR.mp4,ACCMOU,NaN,NaN,NaN,ROUGOR,,,,False,6.96,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/gajan/2022-07-28-11-14-23_gajan_1MESCHA.mp4,MESCHA,MESCHA,NaN,NaN,MESCHA,,,,True,0.84,5.72,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/gajan/2022-07-28-11-15-53_gajan_1MESCHA.mp4,MESCHA,NaN,NaN,NaN,MESCHA,,,,True,2.88,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/gajan/2022-07-28-11-17-55_gajan_1MESCHA.mp4,MESCHA,NaN,NaN,NaN,MESCHA,,,,True,9.36,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/gajan/2022-08-22-10-09-52_gajan_2MESNON.mp4,MESCHA,MESCHA,NaN,NaN,MESNON,MESNON,,,False,5.6,0.84,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/gajan/2022-08-22-10-13-45_gajan_1MESNON_1MESBLEU_1SITEUR.mp4,SITTOR,NaN,NaN,NaN,MESNON,MESBLE,SITTOR,,False,9.08,,,,
